var_1,var_2,cor,pvalue
UPDRS Part I,NTF3,0.0487323894455907,0.747744954396201
UPDRS Part I,IL10,-0.0222142795618542,0.88349812336225
UPDRS Part I,IL17C,0.0522132611079296,0.730382329485788
UPDRS Part I,uPA,-0.180894488358774,0.22894647634522
UPDRS Part I,"NTF3, IL10",-0.0511504278728509,0.735670076462769
UPDRS Part I,"NTF3, IL17C",0.0115166601879816,0.939448835154472
UPDRS Part I,"NTF3, uPA",0.107398123724157,0.477442423400878
UPDRS Part I,"IL10, IL17C",0.0301154331879897,0.842515708423712
UPDRS Part I,"IL10, uPA",0.118083159247459,0.434462296367966
UPDRS Part I,"IL17C, uPA",0.158764444656761,0.291946449627204
UPDRS Part II,NTF3,-0.106432473729376,0.481434199946006
UPDRS Part II,IL10,0.0969350900557204,0.521610766550456
UPDRS Part II,IL17C,0.0738975008959994,0.62549866680001
UPDRS Part II,uPA,-0.160584505446963,0.286377904137123
UPDRS Part II,"NTF3, IL10",0.148648512237092,0.324167944544034
UPDRS Part II,"NTF3, IL17C",0.130769563453642,0.386357420356854
UPDRS Part II,"NTF3, uPA",0.171044383879708,0.255725051993984
UPDRS Part II,"IL10, IL17C",0.115049403486203,0.446440854319118
UPDRS Part II,"IL10, uPA",0.185219843063647,0.217819637191214
UPDRS Part II,"IL17C, uPA",0.161776013695919,0.282770206154057
UPDRS Part III,NTF3,0.107527451999552,0.476909140732424
UPDRS Part III,IL10,0.00198344104093284,0.989562262621831
UPDRS Part III,IL17C,0.123560962856355,0.4132943581576
UPDRS Part III,uPA,-0.014768135631274,0.922399944350835
UPDRS Part III,"NTF3, IL10",-0.0739595005307217,0.625207859181395
UPDRS Part III,"NTF3, IL17C",0.0323416353126622,0.831037834194776
UPDRS Part III,"NTF3, uPA",-0.0435998632939228,0.773570717139605
UPDRS Part III,"IL10, IL17C",0.10204494507311,0.499789907437192
UPDRS Part III,"IL10, uPA",0.0122570052591467,0.935564255232868
UPDRS Part III,"IL17C, uPA",0.103201812047728,0.494915489534357
UPDRS Part IV,NTF3,0.0365604159912099,0.8093836339551
UPDRS Part IV,IL10,0.0468941257022558,0.756964954418931
UPDRS Part IV,IL17C,0.333906894222904,0.023337375444084
UPDRS Part IV,uPA,-0.0574367747900777,0.70457821840844
UPDRS Part IV,"NTF3, IL10",0.0101106132291749,0.946830100719266
UPDRS Part IV,"NTF3, IL17C",0.253173575975353,0.0895771394695381
UPDRS Part IV,"NTF3, uPA",0.0234361600817569,0.877137877703162
UPDRS Part IV,"IL10, IL17C",0.299195606030026,0.043390674492766
UPDRS Part IV,"IL10, uPA",0.0746718449537089,0.621870676166827
UPDRS Part IV,"IL17C, uPA",0.29044565906228,0.0502152665386563
Modified H&Y,NTF3,-0.131109680420037,0.385112607500205
Modified H&Y,IL10,0.363823949922689,0.0129370184850761
Modified H&Y,IL17C,0.127956085083893,0.39674526043328
Modified H&Y,uPA,-0.0155877333951066,0.91810756563683
Modified H&Y,"NTF3, IL10",0.369558812241903,0.0114819765387221
Modified H&Y,"NTF3, IL17C",0.191725050491948,0.201801349488838
Modified H&Y,"NTF3, uPA",0.0776842993318215,0.607841418228385
Modified H&Y,"IL10, IL17C",0.309779196734163,0.0361668975085517
Modified H&Y,"IL10, uPA",0.262228534956502,0.0783183864651424
Modified H&Y,"IL17C, uPA",0.107066782281521,0.478810139538037
S&E ADL Score,NTF3,0.103307281258115,0.494472322124722
S&E ADL Score,IL10,-0.197141655576826,0.189111080688409
S&E ADL Score,IL17C,-0.12414543404835,0.411071161802596
S&E ADL Score,uPA,0.212255722367414,0.156727199364517
S&E ADL Score,"NTF3, IL10",-0.222895080813387,0.136501236244782
S&E ADL Score,"NTF3, IL17C",-0.1704193443282,0.257492340075075
S&E ADL Score,"NTF3, uPA",-0.207181174846745,0.167112107312646
S&E ADL Score,"IL10, IL17C",-0.212627296962629,0.155985784917323
S&E ADL Score,"IL10, uPA",-0.29238110966879,0.0486354292992227
S&E ADL Score,"IL17C, uPA",-0.233853195082614,0.117771283978954
log2_NfL,NTF3,-0.0391443492649345,0.796188957733406
log2_NfL,IL10,0.241676418778218,0.105639538370745
log2_NfL,IL17C,0.115273311553662,0.445550615763241
log2_NfL,uPA,0.231818446459178,0.121093125229813
log2_NfL,"NTF3, IL10",0.211831962853826,0.157575884635854
log2_NfL,"NTF3, IL17C",0.121185040159498,0.42240230612225
log2_NfL,"NTF3, uPA",-0.149418914780897,0.321638271800516
log2_NfL,"IL10, IL17C",0.230506208933741,0.123272654272342
log2_NfL,"IL10, uPA",-0.00438949373431079,0.976903036334566
log2_NfL,"IL17C, uPA",-0.0656488451724598,0.664675762037066
K-MMSE,NTF3,-0.19268460530367,0.199510672129381
K-MMSE,IL10,-0.0462434962612325,0.760236345339047
K-MMSE,IL17C,-0.260728611207298,0.0801023020856535
K-MMSE,uPA,0.0380787526308428,0.801623764007005
K-MMSE,"NTF3, IL10",0.0999678216302101,0.508603129914495
K-MMSE,"NTF3, IL17C",-0.0905714325687357,0.549431460641686
K-MMSE,"NTF3, uPA",0.0696508349390584,0.64554947394858
K-MMSE,"IL10, IL17C",-0.239055724553694,0.109591951229453
K-MMSE,"IL10, uPA",-0.0599487610612094,0.692282884678928
K-MMSE,"IL17C, uPA",-0.222328382776659,0.13752690796139
CDR,NTF3,0.0356218724580238,0.814189430575691
CDR,IL10,-0.10541520800635,0.485658234266597
CDR,IL17C,-0.0155124692017812,0.918501643335231
CDR,uPA,-0.246975810110713,0.0979817883046117
CDR,"NTF3, IL10",-0.105416058240035,0.485654695740707
CDR,"NTF3, IL17C",-0.0361174430695223,0.811651016209503
CDR,"NTF3, uPA",0.162264421158554,0.281300017521689
CDR,"IL10, IL17C",-0.072144221124583,0.633745535018466
CDR,"IL10, uPA",0.10947281186287,0.46892560750142
CDR,"IL17C, uPA",0.151104251059125,0.316147863132458
