var_i,var_j,var_name_i,var_name_j,Pearson_cor,Pearson_pvalue,Spearman_cor,Spearman_pvalue
NTF3,IL10,NTF3,IL10,0.0130389410743328,0.909197976881281,0.108812074001947,0.339073799073475
NTF3,IL17C,NTF3,IL17C,-0.0083018656465761,0.942113527054703,-0.0701071080817916,0.538488812937077
NTF3,uPA,NTF3,uPA,0.311039827277169,0.00526944285532368,0.308450748371607,0.00568092123651282
IL10,IL17C,IL10,IL17C,0.140112016246941,0.218106495284067,0.327750730282376,0.00333299242107595
IL10,uPA,IL10,uPA,-0.152278773970027,0.180330548538173,-0.0102492316546525,0.928567353241973
IL17C,uPA,IL17C,uPA,-0.0837942009356512,0.462826484511311,-0.0374182162783868,0.743369909122961
