Model,Threshold,Sensitivity,Specificity,PositivePredictiveValue,NegativePredictiveValue
Group ~ Prot48,0.426629012920689,0.666666666666667,0.733333333333333,0.666666666666667,0.733333333333333
Group ~ Prot48,0.439754430797486,0.666666666666667,0.8,0.727272727272727,0.75
Group ~ Prot48,0.455311579173785,0.666666666666667,0.866666666666667,0.8,0.764705882352941
Group ~ Prot48,0.472637554922006,0.666666666666667,0.933333333333333,0.888888888888889,0.777777777777778
Group ~ Prot48,0.504706417232189,0.583333333333333,0.933333333333333,0.875,0.736842105263158
Group ~ Prot48,0.56939565594248,0.5,0.933333333333333,0.857142857142857,0.7
Group ~ Prot48,0.648063152596654,0.416666666666667,0.933333333333333,0.833333333333333,0.666666666666667
Group ~ Prot48,0.689083718544806,0.333333333333333,0.933333333333333,0.8,0.636363636363636
Group ~ Prot48,0.726189030177696,0.25,0.933333333333333,0.75,0.608695652173913
Group ~ Prot48,0.852306710723385,0.25,1,1,0.625
Group ~ Prot48,0.969563300542838,0.166666666666667,1,1,0.6
Group ~ Prot48,0.991468001198894,0.0833333333333333,1,1,0.576923076923077
Group ~ Prot48,Inf,0,1,,0.555555555555556
Group ~ Prot13,-Inf,1,0,0.444444444444444,
Group ~ Prot13,0.0863351119301514,1,0.0666666666666667,0.461538461538462,1
Group ~ Prot13,0.135385996733096,1,0.133333333333333,0.48,1
Group ~ Prot13,0.174656259944832,1,0.2,0.5,1
Group ~ Prot13,0.18489710857116,1,0.266666666666667,0.521739130434783,1
Group ~ Prot13,0.196730269812306,1,0.333333333333333,0.545454545454545,1
Group ~ Prot13,0.20310912282928,0.916666666666667,0.333333333333333,0.523809523809524,0.833333333333333
Group ~ Prot13,0.230019969706917,0.916666666666667,0.4,0.55,0.857142857142857
Group ~ Prot13,0.261393527854931,0.916666666666667,0.466666666666667,0.578947368421053,0.875
Group ~ Prot13,0.280095660321366,0.916666666666667,0.533333333333333,0.611111111111111,0.888888888888889
Group ~ Prot13,0.298762921356656,0.916666666666667,0.6,0.647058823529412,0.9
Group ~ Prot13,0.305967984361622,0.916666666666667,0.666666666666667,0.6875,0.909090909090909
Group ~ Prot13,0.364800654436328,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333
Group ~ Prot13,0.429700506780287,0.833333333333333,0.733333333333333,0.714285714285714,0.846153846153846
Group ~ Prot13,0.441159716227324,0.75,0.733333333333333,0.692307692307692,0.785714285714286
Group ~ Prot13,0.477575786210997,0.75,0.8,0.75,0.8
Group ~ Prot13,0.513309248091032,0.666666666666667,0.8,0.727272727272727,0.75
Group ~ Prot13,0.526764089630424,0.666666666666667,0.866666666666667,0.8,0.764705882352941
Group ~ Prot13,0.545573989623561,0.583333333333333,0.866666666666667,0.777777777777778,0.722222222222222
Group ~ Prot13,0.58081897594841,0.5,0.866666666666667,0.75,0.68421052631579
Group ~ Prot13,0.616675222139872,0.416666666666667,0.866666666666667,0.714285714285714,0.65
Group ~ Prot13,0.665769191469782,0.333333333333333,0.866666666666667,0.666666666666667,0.619047619047619
Group ~ Prot13,0.733395962610388,0.25,0.866666666666667,0.6,0.590909090909091
Group ~ Prot13,0.788664006536833,0.166666666666667,0.866666666666667,0.5,0.565217391304348
Group ~ Prot13,0.818475174792848,0.166666666666667,0.933333333333333,0.666666666666667,0.583333333333333
Group ~ Prot13,0.8274166045715,0.0833333333333333,0.933333333333333,0.5,0.56
Group ~ Prot13,0.846957463588178,0.0833333333333333,1,1,0.576923076923077
Group ~ Prot13,Inf,0,1,,0.555555555555556
Group ~ Prot11,-Inf,1,0,0.444444444444444,
Group ~ Prot11,0.0768459728272736,1,0.0666666666666667,0.461538461538462,1
Group ~ Prot11,0.148474878185422,1,0.133333333333333,0.48,1
Group ~ Prot11,0.207524867816027,0.916666666666667,0.133333333333333,0.458333333333333,0.666666666666667
Group ~ Prot11,0.212830261246832,0.833333333333333,0.133333333333333,0.434782608695652,0.5
Group ~ Prot11,0.224025408534404,0.833333333333333,0.2,0.454545454545455,0.6
Group ~ Prot11,0.238540423126409,0.833333333333333,0.266666666666667,0.476190476190476,0.666666666666667
Group ~ Prot11,0.268985935626734,0.833333333333333,0.333333333333333,0.5,0.714285714285714
Group ~ Prot11,0.294182406824325,0.833333333333333,0.4,0.526315789473684,0.75
Group ~ Prot11,0.300822609787104,0.833333333333333,0.466666666666667,0.555555555555556,0.777777777777778
Group ~ Prot11,0.307919488851743,0.833333333333333,0.533333333333333,0.588235294117647,0.8
Group ~ Prot11,0.313295552872984,0.833333333333333,0.6,0.625,0.818181818181818
Group ~ Prot11,0.316135370152352,0.833333333333333,0.666666666666667,0.666666666666667,0.833333333333333
Group ~ Prot11,0.370442453256421,0.75,0.666666666666667,0.642857142857143,0.769230769230769
Group ~ Prot11,0.425223190259328,0.75,0.733333333333333,0.692307692307692,0.785714285714286
Group ~ Prot11,0.431435411259098,0.666666666666667,0.733333333333333,0.666666666666667,0.733333333333333
Group ~ Prot11,0.448739546505024,0.666666666666667,0.8,0.727272727272727,0.75
Group ~ Prot11,0.513265246956906,0.583333333333333,0.8,0.7,0.705882352941177
Group ~ Prot11,0.613732712618851,0.5,0.8,0.666666666666667,0.666666666666667
Group ~ Prot11,0.663691199326704,0.416666666666667,0.8,0.625,0.631578947368421
Group ~ Prot11,0.668425474431724,0.416666666666667,0.866666666666667,0.714285714285714,0.65
Group ~ Prot11,0.684985234751263,0.416666666666667,0.933333333333333,0.833333333333333,0.666666666666667
Group ~ Prot11,0.713423401905006,0.416666666666667,1,1,0.681818181818182
Group ~ Prot11,0.744052130436606,0.333333333333333,1,1,0.652173913043478
Group ~ Prot11,0.772450047442967,0.25,1,1,0.625
Group ~ Prot11,0.789048264265956,0.166666666666667,1,1,0.6
Group ~ Prot11,0.808015726801593,0.0833333333333333,1,1,0.576923076923077
Group ~ Prot11,Inf,0,1,,0.555555555555556
