group_var,var,Model,coef,coef_pvalue,AUC,AUC_CI_LB,AUC_CI_UB,pvalue_vs_ref,AIC,Accuracy,LOOCV_Accuracy_mean,LOOCV_Accuracy_sd,LOOCV_Accuracy_mean_se,LOOCV_AUC_mean,LOOCV_AUC_sd,LOOCV_AUC_mean_se,prob_threshold,delta_AIC
Group,,Group ~ 1,,,0.5,0.5,0.5,,39.0959251362555,0.444444444444444,0.444444444444444,0.0194757570593013,0.0993072652873697,0.5,0,0,-Inf,0
Group,NTF3,Group ~ Prot68,-3.35591783424862,0.0201272909069365,0.794444444444444,0.619067048472605,0.969821840416283,0.000999665706092507,33.7553264430872,0.777777777777778,0.779202279202279,0.0171760032578739,0.0875807757774324,0.794444444444444,0.0182204784578394,0.0929065752035199,0.357533004887927,-5.34059869316822
Group,IL10,Group ~ Prot48,1.89199537397645,0.0498691552161596,0.783333333333333,0.594894984026434,0.971771682640233,0.00320899011115394,33.1246138151437,0.814814814814815,0.814814814814815,0.0152248996409065,0.0776320603614741,0.783333333333333,0.0196474147281882,0.100182551090682,0.472637554922006,-5.97131132111174
Group,IL17C,Group ~ Prot13,1.61753414562913,0.0228806239944174,0.805555555555556,0.628213696860126,0.982897414250985,0.00073289422282596,34.2002777886321,0.777777777777778,0.782051282051282,0.0184763254390485,0.0942111439531991,0.805555555555556,0.0184178462366337,0.0939129573589465,0.305967984361622,-4.8956473476234
Group,uPA,Group ~ Prot11,-2.94542568893569,0.0281209161756868,0.755555555555556,0.552664830016622,0.958446281094489,0.0135598592821817,34.913390079408,0.740740740740741,0.743589743589744,0.0184763254390486,0.0942111439531994,0.755555555555556,0.0211603665692617,0.107897122051442,0.316135370152352,-4.1825350568475
