Model,Threshold,Sensitivity,Specificity,PositivePredictiveValue,NegativePredictiveValue
Group ~ IL10 + age,0.517625989794904,0.717391304347826,0.393939393939394,0.622641509433962,0.5
Group ~ IL10 + age,0.519656448022233,0.695652173913044,0.393939393939394,0.615384615384615,0.481481481481482
Group ~ IL10 + age,0.520950812175113,0.695652173913044,0.424242424242424,0.627450980392157,0.5
Group ~ IL10 + age,0.526887628389114,0.673913043478261,0.424242424242424,0.62,0.482758620689655
Group ~ IL10 + age,0.533933407088359,0.652173913043478,0.424242424242424,0.612244897959184,0.466666666666667
Group ~ IL10 + age,0.537148408113023,0.652173913043478,0.454545454545455,0.625,0.483870967741936
Group ~ IL10 + age,0.542633777059962,0.652173913043478,0.484848484848485,0.638297872340426,0.5
Group ~ IL10 + age,0.546517453485511,0.630434782608696,0.484848484848485,0.630434782608696,0.484848484848485
Group ~ IL10 + age,0.547671523189189,0.630434782608696,0.515151515151515,0.644444444444445,0.5
Group ~ IL10 + age,0.549512912775899,0.630434782608696,0.545454545454545,0.659090909090909,0.514285714285714
Group ~ IL10 + age,0.550939865724018,0.630434782608696,0.575757575757576,0.674418604651163,0.527777777777778
Group ~ IL10 + age,0.553131491039259,0.608695652173913,0.575757575757576,0.666666666666667,0.513513513513514
Group ~ IL10 + age,0.556284495088829,0.586956521739131,0.575757575757576,0.658536585365854,0.5
Group ~ IL10 + age,0.557592572050819,0.586956521739131,0.606060606060606,0.675,0.512820512820513
Group ~ IL10 + age,0.564082247518965,0.586956521739131,0.636363636363636,0.692307692307692,0.525
Group ~ IL10 + age,0.570777963165181,0.565217391304348,0.636363636363636,0.68421052631579,0.51219512195122
Group ~ IL10 + age,0.574002803995937,0.543478260869565,0.636363636363636,0.675675675675676,0.5
Group ~ IL10 + age,0.578045400175855,0.521739130434783,0.636363636363636,0.666666666666667,0.488372093023256
Group ~ IL10 + age,0.579913942778517,0.5,0.636363636363636,0.657142857142857,0.477272727272727
Group ~ IL10 + age,0.580757806035375,0.478260869565217,0.636363636363636,0.647058823529412,0.466666666666667
Group ~ IL10 + age,0.580924834174365,0.478260869565217,0.666666666666667,0.666666666666667,0.478260869565217
Group ~ IL10 + age,0.585219856187357,0.456521739130435,0.666666666666667,0.65625,0.468085106382979
Group ~ IL10 + age,0.590910554380796,0.434782608695652,0.666666666666667,0.645161290322581,0.458333333333333
Group ~ IL10 + age,0.593070353086592,0.41304347826087,0.666666666666667,0.633333333333333,0.448979591836735
Group ~ IL10 + age,0.59423225499,0.391304347826087,0.666666666666667,0.620689655172414,0.44
Group ~ IL10 + age,0.598057515727398,0.391304347826087,0.696969696969697,0.642857142857143,0.450980392156863
Group ~ IL10 + age,0.605565477657718,0.391304347826087,0.727272727272727,0.666666666666667,0.461538461538462
Group ~ IL10 + age,0.613803102063696,0.391304347826087,0.757575757575758,0.692307692307692,0.471698113207547
Group ~ IL10 + age,0.617830451519386,0.369565217391304,0.757575757575758,0.68,0.462962962962963
Group ~ IL10 + age,0.619440654231025,0.347826086956522,0.757575757575758,0.666666666666667,0.454545454545455
Group ~ IL10 + age,0.622193163122391,0.326086956521739,0.757575757575758,0.652173913043478,0.446428571428571
Group ~ IL10 + age,0.624069713256718,0.304347826086957,0.757575757575758,0.636363636363636,0.43859649122807
Group ~ IL10 + age,0.62837439297722,0.282608695652174,0.757575757575758,0.619047619047619,0.431034482758621
Group ~ IL10 + age,0.632452275579087,0.282608695652174,0.787878787878788,0.65,0.440677966101695
Group ~ IL10 + age,0.637130889149818,0.260869565217391,0.787878787878788,0.631578947368421,0.433333333333333
Group ~ IL10 + age,0.650571178607683,0.260869565217391,0.818181818181818,0.666666666666667,0.442622950819672
Group ~ IL10 + age,0.66037651354867,0.260869565217391,0.848484848484848,0.705882352941177,0.451612903225806
Group ~ IL10 + age,0.666038552395702,0.239130434782609,0.848484848484848,0.6875,0.444444444444444
Group ~ IL10 + age,0.672043170638841,0.217391304347826,0.848484848484848,0.666666666666667,0.4375
Group ~ IL10 + age,0.678995756144394,0.195652173913043,0.848484848484848,0.642857142857143,0.430769230769231
Group ~ IL10 + age,0.695331872727905,0.195652173913043,0.878787878787879,0.692307692307692,0.439393939393939
Group ~ IL10 + age,0.711889519346224,0.195652173913043,0.909090909090909,0.75,0.447761194029851
Group ~ IL10 + age,0.720558722953207,0.195652173913043,0.939393939393939,0.818181818181818,0.455882352941176
Group ~ IL10 + age,0.733992785816957,0.195652173913043,0.96969696969697,0.9,0.463768115942029
Group ~ IL10 + age,0.746594920404752,0.173913043478261,0.96969696969697,0.888888888888889,0.457142857142857
Group ~ IL10 + age,0.757006322625759,0.152173913043478,0.96969696969697,0.875,0.450704225352113
Group ~ IL10 + age,0.776100832699668,0.152173913043478,1,1,0.458333333333333
Group ~ IL10 + age,0.79911686468224,0.130434782608696,1,1,0.452054794520548
Group ~ IL10 + age,0.817651008538486,0.108695652173913,1,1,0.445945945945946
Group ~ IL10 + age,0.829786708392773,0.0869565217391304,1,1,0.44
Group ~ IL10 + age,0.848542164677803,0.0652173913043478,1,1,0.434210526315789
Group ~ IL10 + age,0.864562703098633,0.0434782608695652,1,1,0.428571428571429
Group ~ IL10 + age,0.900673136153782,0.0217391304347826,1,1,0.423076923076923
Group ~ IL10 + age,Inf,0,1,,0.417721518987342
Group ~ IL17C + age,-Inf,1,0,0.582278481012658,
Group ~ IL17C + age,0.260827875284794,1,0.0303030303030303,0.58974358974359,1
Group ~ IL17C + age,0.304241088078792,1,0.0606060606060606,0.597402597402597,1
Group ~ IL17C + age,0.342334928700629,1,0.0909090909090909,0.605263157894737,1
Group ~ IL17C + age,0.344058274949118,1,0.121212121212121,0.613333333333333,1
Group ~ IL17C + age,0.349101162231587,1,0.151515151515152,0.621621621621622,1
Group ~ IL17C + age,0.369617793980473,1,0.181818181818182,0.63013698630137,1
Group ~ IL17C + age,0.391040471215872,1,0.212121212121212,0.638888888888889,1
Group ~ IL17C + age,0.397053572884609,1,0.242424242424242,0.647887323943662,1
Group ~ IL17C + age,0.398862713096907,1,0.272727272727273,0.657142857142857,1
Group ~ IL17C + age,0.404689979370615,1,0.303030303030303,0.666666666666667,1
Group ~ IL17C + age,0.412146521938517,1,0.333333333333333,0.676470588235294,1
Group ~ IL17C + age,0.422789295353484,0.978260869565217,0.333333333333333,0.671641791044776,0.916666666666667
Group ~ IL17C + age,0.432626430472958,0.978260869565217,0.363636363636364,0.681818181818182,0.923076923076923
Group ~ IL17C + age,0.439791678829562,0.956521739130435,0.363636363636364,0.676923076923077,0.857142857142857
Group ~ IL17C + age,0.447905936663635,0.934782608695652,0.363636363636364,0.671875,0.8
Group ~ IL17C + age,0.455861488662632,0.91304347826087,0.363636363636364,0.666666666666667,0.75
Group ~ IL17C + age,0.461788768890463,0.91304347826087,0.393939393939394,0.67741935483871,0.764705882352941
Group ~ IL17C + age,0.463104537242681,0.891304347826087,0.393939393939394,0.672131147540984,0.722222222222222
Group ~ IL17C + age,0.466862819960365,0.869565217391304,0.393939393939394,0.666666666666667,0.68421052631579
Group ~ IL17C + age,0.482193009282173,0.847826086956522,0.393939393939394,0.661016949152542,0.65
Group ~ IL17C + age,0.494144431137051,0.847826086956522,0.424242424242424,0.672413793103448,0.666666666666667
Group ~ IL17C + age,0.495053866488674,0.826086956521739,0.424242424242424,0.666666666666667,0.636363636363636
Group ~ IL17C + age,0.498020153100754,0.804347826086957,0.424242424242424,0.660714285714286,0.608695652173913
Group ~ IL17C + age,0.502350964675374,0.782608695652174,0.424242424242424,0.654545454545455,0.583333333333333
Group ~ IL17C + age,0.505813164188363,0.760869565217391,0.424242424242424,0.648148148148148,0.56
Group ~ IL17C + age,0.510281195312007,0.760869565217391,0.454545454545455,0.660377358490566,0.576923076923077
Group ~ IL17C + age,0.514213543654353,0.739130434782609,0.454545454545455,0.653846153846154,0.555555555555556
Group ~ IL17C + age,0.5153094404123,0.739130434782609,0.484848484848485,0.666666666666667,0.571428571428571
Group ~ IL17C + age,0.517378112970238,0.717391304347826,0.484848484848485,0.66,0.551724137931035
