group_var,var,adj_var,Model,AUC,AUC_CI_LB,AUC_CI_UB,pvalue_vs_ref,AIC,Accuracy,LOOCV_Accuracy_mean,LOOCV_Accuracy_sd,LOOCV_Accuracy_mean_se,LOOCV_AUC_mean,LOOCV_AUC_sd,LOOCV_AUC_mean_se,prob_threshold,delta_AIC
Group,NA,Age,Group ~ 1 + age,0.518774703557312,0.387234025610029,0.650315381504595,,111.361208632428,0.582278481012658,0.587958455047063,0.011004554782511,0.0971895962795414,0.51473885108654,0.0140057262906313,0.123695225358097,0.584954916991883,0
Group,"NTF3, IL10",Age,Group ~ NTF3+IL10 + age,0.729249011857708,0.615211800902315,0.8432862228131,0.0192154636029962,104.649995193089,0.708860759493671,0.696851671535216,0.0209396316817492,0.184933819642191,0.728710264681302,0.00721125111802053,0.0636880454213966,0.545706187471219,-6.71121343933929
Group,"NTF3, IL17C",Age,Group ~ NTF3+IL17C + age,0.743741765480896,0.629238341446915,0.858245189514877,0.0110760549832004,102.60719352047,0.721518987341772,0.720058422590068,0.009049273995524,0.0799210239423471,0.742536184399489,0.00653770992818464,0.0577394906991442,0.580353764924727,-8.75401511195793
Group,"NTF3, uPA",Age,Group ~ NTF3+uPA + age,0.704216073781291,0.588237688737612,0.82019445882497,0.0386161735854262,103.818109392684,0.69620253164557,0.690847127555988,0.00984277302232598,0.0869290175947261,0.705842570819181,0.00726885299348168,0.0641967714109215,0.53370298388237,-7.54309923974428
Group,"IL10, IL17C",Age,Group ~ IL10+IL17C + age,0.720026350461133,0.602094322770657,0.83795837815161,0.0292047875442794,103.880788227013,0.721518987341772,0.711132749107433,0.0127934367336462,0.112988573890057,0.719350164412424,0.00655261189756935,0.0578711013291872,0.482940080249352,-7.48042040541519
Group,"IL10, uPA",Age,Group ~ IL10+uPA + age,0.716732542819499,0.600013282073044,0.833451803565955,0.032079911703406,102.52110772503,0.721518987341772,0.72444011684518,0.00915186013588449,0.0808270402022105,0.718442548999442,0.00767866187228907,0.0678161054294463,0.54996957201222,-8.84010090739808
Group,"IL17C, uPA",Age,Group ~ IL17C+uPA + age,0.791831357048748,0.685291949017132,0.898370765080365,0.00226549627634086,97.4492430213949,0.784810126582278,0.789191820837391,0.0104168167071656,0.0919988341460552,0.792910432290248,0.00664733412622079,0.0587076654013624,0.554916434755286,-13.911965611033
