Model,Threshold,Sensitivity,Specificity,PositivePredictiveValue,NegativePredictiveValue
Group ~ NTF3+IL17C + age,0.440853089326751,0.91304347826087,0.424242424242424,0.688524590163934,0.777777777777778
Group ~ NTF3+IL17C + age,0.451773754403094,0.91304347826087,0.454545454545455,0.7,0.789473684210526
Group ~ NTF3+IL17C + age,0.45726650639942,0.891304347826087,0.454545454545455,0.694915254237288,0.75
Group ~ NTF3+IL17C + age,0.460234484714793,0.869565217391304,0.454545454545455,0.689655172413793,0.714285714285714
Group ~ NTF3+IL17C + age,0.464708000273827,0.847826086956522,0.454545454545455,0.68421052631579,0.681818181818182
Group ~ NTF3+IL17C + age,0.467379812849367,0.847826086956522,0.484848484848485,0.696428571428571,0.695652173913044
Group ~ NTF3+IL17C + age,0.472892733622713,0.847826086956522,0.515151515151515,0.709090909090909,0.708333333333333
Group ~ NTF3+IL17C + age,0.482801388533327,0.826086956521739,0.515151515151515,0.703703703703704,0.68
Group ~ NTF3+IL17C + age,0.490113732714019,0.804347826086957,0.515151515151515,0.69811320754717,0.653846153846154
Group ~ NTF3+IL17C + age,0.494997262203968,0.782608695652174,0.515151515151515,0.692307692307692,0.62962962962963
Group ~ NTF3+IL17C + age,0.497446564617997,0.782608695652174,0.545454545454545,0.705882352941177,0.642857142857143
Group ~ NTF3+IL17C + age,0.503543094063719,0.760869565217391,0.545454545454545,0.7,0.620689655172414
Group ~ NTF3+IL17C + age,0.510012027851147,0.760869565217391,0.575757575757576,0.714285714285714,0.633333333333333
Group ~ NTF3+IL17C + age,0.514550863360239,0.739130434782609,0.575757575757576,0.708333333333333,0.612903225806452
Group ~ NTF3+IL17C + age,0.523398093084341,0.739130434782609,0.606060606060606,0.723404255319149,0.625
Group ~ NTF3+IL17C + age,0.537028782525516,0.717391304347826,0.606060606060606,0.717391304347826,0.606060606060606
Group ~ NTF3+IL17C + age,0.546919329946679,0.717391304347826,0.636363636363636,0.733333333333333,0.617647058823529
Group ~ NTF3+IL17C + age,0.554173952085852,0.717391304347826,0.666666666666667,0.75,0.628571428571429
Group ~ NTF3+IL17C + age,0.560853428154026,0.717391304347826,0.696969696969697,0.767441860465116,0.638888888888889
Group ~ NTF3+IL17C + age,0.565395761601612,0.717391304347826,0.727272727272727,0.785714285714286,0.648648648648649
Group ~ NTF3+IL17C + age,0.573447651376613,0.695652173913044,0.727272727272727,0.780487804878049,0.631578947368421
Group ~ NTF3+IL17C + age,0.580353764924727,0.695652173913044,0.757575757575758,0.8,0.641025641025641
Group ~ NTF3+IL17C + age,0.584428791159516,0.673913043478261,0.757575757575758,0.794871794871795,0.625
Group ~ NTF3+IL17C + age,0.592063309507087,0.652173913043478,0.757575757575758,0.789473684210526,0.609756097560976
Group ~ NTF3+IL17C + age,0.602382145743527,0.630434782608696,0.757575757575758,0.783783783783784,0.595238095238095
Group ~ NTF3+IL17C + age,0.607898291468879,0.608695652173913,0.757575757575758,0.777777777777778,0.581395348837209
Group ~ NTF3+IL17C + age,0.611550159274178,0.586956521739131,0.757575757575758,0.771428571428571,0.568181818181818
Group ~ NTF3+IL17C + age,0.618609277197082,0.565217391304348,0.757575757575758,0.764705882352941,0.555555555555556
Group ~ NTF3+IL17C + age,0.626326133394412,0.543478260869565,0.757575757575758,0.757575757575758,0.543478260869565
Group ~ NTF3+IL17C + age,0.634256623575242,0.543478260869565,0.787878787878788,0.78125,0.553191489361702
Group ~ NTF3+IL17C + age,0.641021089312007,0.521739130434783,0.787878787878788,0.774193548387097,0.541666666666667
Group ~ NTF3+IL17C + age,0.643051091694707,0.5,0.787878787878788,0.766666666666667,0.530612244897959
Group ~ NTF3+IL17C + age,0.658455610794034,0.5,0.818181818181818,0.793103448275862,0.54
Group ~ NTF3+IL17C + age,0.674303226652244,0.5,0.848484848484848,0.821428571428571,0.549019607843137
Group ~ NTF3+IL17C + age,0.675198810215055,0.478260869565217,0.848484848484848,0.814814814814815,0.538461538461538
Group ~ NTF3+IL17C + age,0.678178581941775,0.456521739130435,0.848484848484848,0.807692307692308,0.528301886792453
Group ~ NTF3+IL17C + age,0.681468288993935,0.434782608695652,0.848484848484848,0.8,0.518518518518519
Group ~ NTF3+IL17C + age,0.685372855497113,0.41304347826087,0.848484848484848,0.791666666666667,0.509090909090909
